Title,Words,Sentences,Filtered_Words,POS_Tags,Entities,Sentiment,Lemmas
The Flanders Audiovisual Fund releases a new report on the use of artificial intelligence in audiovisual creation,"['The', 'Flanders', 'Audiovisual', 'Fund', 'releases', 'a', 'new', 'report', 'on', 'the', 'use', 'of', 'artificial', 'intelligence', 'in', 'audiovisual', 'creation']",['The Flanders Audiovisual Fund releases a new report on the use of artificial intelligence in audiovisual creation'],"['Flanders', 'Audiovisual', 'Fund', 'releases', 'new', 'report', 'use', 'artificial', 'intelligence', 'audiovisual', 'creation']","[('Flanders', 'NNS'), ('Audiovisual', 'NNP'), ('Fund', 'NNP'), ('releases', 'VBZ'), ('new', 'JJ'), ('report', 'NN'), ('use', 'NN'), ('artificial', 'JJ'), ('intelligence', 'NN'), ('audiovisual', 'JJ'), ('creation', 'NN')]","[('Flanders Audiovisual Fund', 'ORG')]",-0.2318181818181818,"['the', 'Flanders', 'Audiovisual', 'Fund', 'release', 'a', 'new', 'report', 'on', 'the', 'use', 'of', 'artificial', 'intelligence', 'in', 'audiovisual', 'creation']"
This Artificial Intelligence (AI) Stock Delivered Bigger Gains Than Nvidia. It Can Skyrocket Higher.,"['This', 'Artificial', 'Intelligence', '(', 'AI', ')', 'Stock', 'Delivered', 'Bigger', 'Gains', 'Than', 'Nvidia', '.', 'It', 'Can', 'Skyrocket', 'Higher', '.']","['This Artificial Intelligence (AI) Stock Delivered Bigger Gains Than Nvidia.', 'It Can Skyrocket Higher.']","['Artificial', 'Intelligence', '(', 'AI', ')', 'Stock', 'Delivered', 'Bigger', 'Gains', 'Nvidia', '.', 'Skyrocket', 'Higher', '.']","[('Artificial', 'JJ'), ('Intelligence', 'NNP'), ('(', '('), ('AI', 'NNP'), (')', ')'), ('Stock', 'NNP'), ('Delivered', 'NNP'), ('Bigger', 'NNP'), ('Gains', 'NNP'), ('Nvidia', 'NNP'), ('.', '.'), ('Skyrocket', 'NNP'), ('Higher', 'NNP'), ('.', '.')]","[('This Artificial Intelligence', 'ORG')]",-0.11666666666666665,"['this', 'Artificial', 'Intelligence', '(', 'AI', ')', 'Stock', 'deliver', 'big', 'Gains', 'than', 'Nvidia', '.', 'it', 'can', 'Skyrocket', 'Higher', '.']"
UAE President visits Mohamed bin Zayed University of Artificial Intelligence,"['UAE', 'President', 'visits', 'Mohamed', 'bin', 'Zayed', 'University', 'of', 'Artificial', 'Intelligence']",['UAE President visits Mohamed bin Zayed University of Artificial Intelligence'],"['UAE', 'President', 'visits', 'Mohamed', 'bin', 'Zayed', 'University', 'Artificial', 'Intelligence']","[('UAE', 'NNP'), ('President', 'NNP'), ('visits', 'NNS'), ('Mohamed', 'NNP'), ('bin', 'NN'), ('Zayed', 'NNP'), ('University', 'NNP'), ('Artificial', 'NNP'), ('Intelligence', 'NNP')]","[('Mohamed bin Zayed University of Artificial Intelligence', 'PERSON')]",-0.6,"['UAE', 'President', 'visit', 'Mohamed', 'bin', 'Zayed', 'University', 'of', 'Artificial', 'Intelligence']"
"China's artificial intelligence (AI) chatbot, Dipshikbal Shock, hit the domestic stock market with s..","['China', ""'s"", 'artificial', 'intelligence', '(', 'AI', ')', 'chatbot', ',', 'Dipshikbal', 'Shock', ',', 'hit', 'the', 'domestic', 'stock', 'market', 'with', 's', '..']","[""China's artificial intelligence (AI) chatbot, Dipshikbal Shock, hit the domestic stock market with s..""]","['China', ""'s"", 'artificial', 'intelligence', '(', 'AI', ')', 'chatbot', ',', 'Dipshikbal', 'Shock', ',', 'hit', 'domestic', 'stock', 'market', '..']","[('China', 'NNP'), (""'s"", 'POS'), ('artificial', 'JJ'), ('intelligence', 'NN'), ('(', '('), ('AI', 'NNP'), (')', ')'), ('chatbot', 'NN'), (',', ','), ('Dipshikbal', 'NNP'), ('Shock', 'NNP'), (',', ','), ('hit', 'VBD'), ('domestic', 'JJ'), ('stock', 'NN'), ('market', 'NN'), ('..', 'NN')]","[('China', 'GPE'), ('AI', 'ORG'), ('Dipshikbal Shock', 'PRODUCT')]",-0.3,"['China', ""'s"", 'artificial', 'intelligence', '(', 'AI', ')', 'chatbot', ',', 'Dipshikbal', 'Shock', ',', 'hit', 'the', 'domestic', 'stock', 'market', 'with', 's', '..']"
Agricultural traceability with blockchain and artificial intelligence,"['Agricultural', 'traceability', 'with', 'blockchain', 'and', 'artificial', 'intelligence']",['Agricultural traceability with blockchain and artificial intelligence'],"['Agricultural', 'traceability', 'blockchain', 'artificial', 'intelligence']","[('Agricultural', 'JJ'), ('traceability', 'NN'), ('blockchain', 'VBP'), ('artificial', 'JJ'), ('intelligence', 'NN')]",[],-0.6,"['agricultural', 'traceability', 'with', 'blockchain', 'and', 'artificial', 'intelligence']"
UAE President Visits Mohamed Bin Zayed University Of Artificial Intelligence,"['UAE', 'President', 'Visits', 'Mohamed', 'Bin', 'Zayed', 'University', 'Of', 'Artificial', 'Intelligence']",['UAE President Visits Mohamed Bin Zayed University Of Artificial Intelligence'],"['UAE', 'President', 'Visits', 'Mohamed', 'Bin', 'Zayed', 'University', 'Artificial', 'Intelligence']","[('UAE', 'NNP'), ('President', 'NNP'), ('Visits', 'NNP'), ('Mohamed', 'NNP'), ('Bin', 'NNP'), ('Zayed', 'NNP'), ('University', 'NNP'), ('Artificial', 'NNP'), ('Intelligence', 'NNP')]","[('UAE', 'ORG'), ('Visits Mohamed Bin Zayed University', 'PERSON')]",-0.6,"['UAE', 'President', 'Visits', 'Mohamed', 'Bin', 'Zayed', 'University', 'of', 'Artificial', 'Intelligence']"
Cardiotocography-Based Experimental Comparison of Artificial Intelligence and Human Judgment in Assessing Fetal Asphyxia During Delivery,"['Cardiotocography-Based', 'Experimental', 'Comparison', 'of', 'Artificial', 'Intelligence', 'and', 'Human', 'Judgment', 'in', 'Assessing', 'Fetal', 'Asphyxia', 'During', 'Delivery']",['Cardiotocography-Based Experimental Comparison of Artificial Intelligence and Human Judgment in Assessing Fetal Asphyxia During Delivery'],"['Cardiotocography-Based', 'Experimental', 'Comparison', 'Artificial', 'Intelligence', 'Human', 'Judgment', 'Assessing', 'Fetal', 'Asphyxia', 'Delivery']","[('Cardiotocography-Based', 'JJ'), ('Experimental', 'NNP'), ('Comparison', 'NNP'), ('Artificial', 'NNP'), ('Intelligence', 'NNP'), ('Human', 'NNP'), ('Judgment', 'NNP'), ('Assessing', 'NNP'), ('Fetal', 'NNP'), ('Asphyxia', 'NNP'), ('Delivery', 'NNP')]","[('Cardiotocography-Based Experimental Comparison of Artificial Intelligence and Human Judgment in Assessing Fetal Asphyxia During Delivery', 'ORG')]",-0.16666666666666666,"['cardiotocography', '-', 'base', 'Experimental', 'Comparison', 'of', 'Artificial', 'Intelligence', 'and', 'Human', 'Judgment', 'in', 'assess', 'Fetal', 'Asphyxia', 'during', 'Delivery']"
2 Artificial Intelligence (AI) Stocks That Could Help Make You a Fortune in 2025,"['2', 'Artificial', 'Intelligence', '(', 'AI', ')', 'Stocks', 'That', 'Could', 'Help', 'Make', 'You', 'a', 'Fortune', 'in', '2025']",['2 Artificial Intelligence (AI) Stocks That Could Help Make You a Fortune in 2025'],"['2', 'Artificial', 'Intelligence', '(', 'AI', ')', 'Stocks', 'Could', 'Help', 'Make', 'Fortune', '2025']","[('2', 'CD'), ('Artificial', 'JJ'), ('Intelligence', 'NNP'), ('(', '('), ('AI', 'NNP'), (')', ')'), ('Stocks', 'NNP'), ('Could', 'NNP'), ('Help', 'NNP'), ('Make', 'NNP'), ('Fortune', 'NNP'), ('2025', 'CD')]","[('2', 'CARDINAL'), ('2025', 'DATE')]",-0.6,"['2', 'Artificial', 'Intelligence', '(', 'AI', ')', 'stock', 'that', 'could', 'help', 'make', 'you', 'a', 'Fortune', 'in', '2025']"
How an artificial intelligence system can make money in the field and the warehouse,"['How', 'an', 'artificial', 'intelligence', 'system', 'can', 'make', 'money', 'in', 'the', 'field', 'and', 'the', 'warehouse']",['How an artificial intelligence system can make money in the field and the warehouse'],"['artificial', 'intelligence', 'system', 'make', 'money', 'field', 'warehouse']","[('artificial', 'JJ'), ('intelligence', 'NN'), ('system', 'NN'), ('make', 'VBP'), ('money', 'NN'), ('field', 'NN'), ('warehouse', 'NN')]",[],-0.6,"['how', 'an', 'artificial', 'intelligence', 'system', 'can', 'make', 'money', 'in', 'the', 'field', 'and', 'the', 'warehouse']"
"Got $5,000? These Are 3 of the Cheapest Artificial Intelligence Stocks to Buy Right Now","['Got', '$', '5,000', '?', 'These', 'Are', '3', 'of', 'the', 'Cheapest', 'Artificial', 'Intelligence', 'Stocks', 'to', 'Buy', 'Right', 'Now']","['Got $5,000?', 'These Are 3 of the Cheapest Artificial Intelligence Stocks to Buy Right Now']","['Got', '$', '5,000', '?', '3', 'Cheapest', 'Artificial', 'Intelligence', 'Stocks', 'Buy', 'Right']","[('Got', 'NNP'), ('$', '$'), ('5,000', 'CD'), ('?', '.'), ('3', 'CD'), ('Cheapest', 'NNP'), ('Artificial', 'NNP'), ('Intelligence', 'NNP'), ('Stocks', 'NNP'), ('Buy', 'NNP'), ('Right', 'NNP')]","[('5,000', 'MONEY'), ('3', 'CARDINAL'), ('the Cheapest Artificial Intelligence Stocks', 'ORG'), ('Buy Right Now', 'ORG')]",-0.15714285714285714,"['got', '$', '5,000', '?', 'these', 'be', '3', 'of', 'the', 'Cheapest', 'Artificial', 'Intelligence', 'stock', 'to', 'buy', 'right', 'now']"
