Index,Title,Summary,words,sentences,filtered_words,pos_tags,entities,sentiment,lemmas
1,Sara Sharif family court judges named after appeal,Judges who oversaw Family Court hearings before Sara was murdered have been named after an appeal by the BBC and others.,"['Sara', 'Sharif', 'family', 'court', 'judges', 'named', 'after', 'appeal', 'Judges', 'who', 'oversaw', 'Family', 'Court', 'hearings', 'before', 'Sara', 'was', 'murdered', 'have', 'been', 'named', 'after', 'an', 'appeal', 'by', 'the', 'BBC', 'and', 'others', '.']",['Sara Sharif family court judges named after appeal Judges who oversaw Family Court hearings before Sara was murdered have been named after an appeal by the BBC and others.'],"['Sara', 'Sharif', 'family', 'court', 'judges', 'named', 'appeal', 'Judges', 'oversaw', 'Family', 'Court', 'hearings', 'Sara', 'murdered', 'named', 'appeal', 'BBC', 'others', '.']","[('Sara', 'NNP'), ('Sharif', 'NNP'), ('family', 'NN'), ('court', 'NN'), ('judges', 'NNS'), ('named', 'VBN'), ('appeal', 'JJ'), ('Judges', 'NNP'), ('oversaw', 'VBD'), ('Family', 'NNP'), ('Court', 'NNP'), ('hearings', 'NNS'), ('Sara', 'NNP'), ('murdered', 'VBD'), ('named', 'VBN'), ('appeal', 'NN'), ('BBC', 'NNP'), ('others', 'NNS'), ('.', '.')]","[('Sara Sharif', 'PERSON'), ('Family Court', 'ORG'), ('Sara', 'PERSON'), ('BBC', 'ORG')]",0.0,"['Sara', 'Sharif', 'family', 'court', 'judge', 'name', 'after', 'appeal', 'Judges', 'who', 'oversee', 'Family', 'Court', 'hearing', 'before', 'Sara', 'be', 'murder', 'have', 'be', 'name', 'after', 'an', 'appeal', 'by', 'the', 'BBC', 'and', 'other', '.']"
2,Woman's body found in search for missing sisters last seen in Aberdeen,Police say the family of Henrietta Huszti has been informed and the search for her sister Eliza continues.,"['Woman', ""'s"", 'body', 'found', 'in', 'search', 'for', 'missing', 'sisters', 'last', 'seen', 'in', 'Aberdeen', 'Police', 'say', 'the', 'family', 'of', 'Henrietta', 'Huszti', 'has', 'been', 'informed', 'and', 'the', 'search', 'for', 'her', 'sister', 'Eliza', 'continues', '.']","[""Woman's body found in search for missing sisters last seen in Aberdeen Police say the family of Henrietta Huszti has been informed and the search for her sister Eliza continues.""]","['Woman', ""'s"", 'body', 'found', 'search', 'missing', 'sisters', 'last', 'seen', 'Aberdeen', 'Police', 'say', 'family', 'Henrietta', 'Huszti', 'informed', 'search', 'sister', 'Eliza', 'continues', '.']","[('Woman', 'NNP'), (""'s"", 'POS'), ('body', 'NN'), ('found', 'VBD'), ('search', 'NN'), ('missing', 'VBG'), ('sisters', 'NNS'), ('last', 'JJ'), ('seen', 'VBN'), ('Aberdeen', 'JJ'), ('Police', 'NNP'), ('say', 'VBP'), ('family', 'NN'), ('Henrietta', 'NNP'), ('Huszti', 'NNP'), ('informed', 'VBD'), ('search', 'NN'), ('sister', 'NN'), ('Eliza', 'NNP'), ('continues', 'VBZ'), ('.', '.')]","[('Woman', 'ORG'), ('Aberdeen', 'GPE'), ('Henrietta Huszti', 'ORG'), ('Eliza', 'PERSON')]",-0.1,"['Woman', ""'s"", 'body', 'find', 'in', 'search', 'for', 'miss', 'sister', 'last', 'see', 'in', 'Aberdeen', 'Police', 'say', 'the', 'family', 'of', 'Henrietta', 'Huszti', 'have', 'be', 'inform', 'and', 'the', 'search', 'for', 'her', 'sister', 'Eliza', 'continue', '.']"
3,"Teenage skaters, a young pilot and a professor - the victims of DC plane crash",The victims of the mid-air collision include dedicated flight attendants and talented ice skaters.,"['Teenage', 'skaters', ',', 'a', 'young', 'pilot', 'and', 'a', 'professor', '-', 'the', 'victims', 'of', 'DC', 'plane', 'crash', 'The', 'victims', 'of', 'the', 'mid-air', 'collision', 'include', 'dedicated', 'flight', 'attendants', 'and', 'talented', 'ice', 'skaters', '.']","['Teenage skaters, a young pilot and a professor - the victims of DC plane crash The victims of the mid-air collision include dedicated flight attendants and talented ice skaters.']","['Teenage', 'skaters', ',', 'young', 'pilot', 'professor', '-', 'victims', 'DC', 'plane', 'crash', 'victims', 'mid-air', 'collision', 'include', 'dedicated', 'flight', 'attendants', 'talented', 'ice', 'skaters', '.']","[('Teenage', 'NN'), ('skaters', 'NNS'), (',', ','), ('young', 'JJ'), ('pilot', 'NN'), ('professor', 'IN'), ('-', ':'), ('victims', 'NNS'), ('DC', 'NNP'), ('plane', 'NN'), ('crash', 'NN'), ('victims', 'NNS'), ('mid-air', 'JJ'), ('collision', 'NN'), ('include', 'VBP'), ('dedicated', 'VBN'), ('flight', 'NN'), ('attendants', 'NNS'), ('talented', 'VBD'), ('ice', 'NN'), ('skaters', 'NNS'), ('.', '.')]","[('DC', 'GPE')]",0.26666666666666666,"['teenage', 'skater', ',', 'a', 'young', 'pilot', 'and', 'a', 'professor', '-', 'the', 'victim', 'of', 'DC', 'plane', 'crash', 'the', 'victim', 'of', 'the', 'mid', '-', 'air', 'collision', 'include', 'dedicated', 'flight', 'attendant', 'and', 'talented', 'ice', 'skater', '.']"
4,Prince Andrew emails show contact with Epstein lasted beyond 2010,Court documents suggest the two remained in touch beyond when the Duke of York said they stopped communicating.,"['Prince', 'Andrew', 'emails', 'show', 'contact', 'with', 'Epstein', 'lasted', 'beyond', '2010', 'Court', 'documents', 'suggest', 'the', 'two', 'remained', 'in', 'touch', 'beyond', 'when', 'the', 'Duke', 'of', 'York', 'said', 'they', 'stopped', 'communicating', '.']",['Prince Andrew emails show contact with Epstein lasted beyond 2010 Court documents suggest the two remained in touch beyond when the Duke of York said they stopped communicating.'],"['Prince', 'Andrew', 'emails', 'show', 'contact', 'Epstein', 'lasted', 'beyond', '2010', 'Court', 'documents', 'suggest', 'two', 'remained', 'touch', 'beyond', 'Duke', 'York', 'said', 'stopped', 'communicating', '.']","[('Prince', 'NNP'), ('Andrew', 'NNP'), ('emails', 'VBZ'), ('show', 'VBP'), ('contact', 'JJ'), ('Epstein', 'NNP'), ('lasted', 'VBD'), ('beyond', 'IN'), ('2010', 'CD'), ('Court', 'NNP'), ('documents', 'NNS'), ('suggest', 'VBP'), ('two', 'CD'), ('remained', 'VBD'), ('touch', 'JJ'), ('beyond', 'IN'), ('Duke', 'NNP'), ('York', 'NNP'), ('said', 'VBD'), ('stopped', 'JJ'), ('communicating', 'NN'), ('.', '.')]","[('Andrew', 'PERSON'), ('Epstein', 'PRODUCT'), ('2010', 'DATE'), ('two', 'CARDINAL'), ('the Duke of York', 'GPE')]",0.0,"['Prince', 'Andrew', 'email', 'show', 'contact', 'with', 'Epstein', 'last', 'beyond', '2010', 'Court', 'document', 'suggest', 'the', 'two', 'remain', 'in', 'touch', 'beyond', 'when', 'the', 'Duke', 'of', 'York', 'say', 'they', 'stop', 'communicate', '.']"
5,English farmland could be cut by 9% to hit green targets,The government's launches a consultation on converting farmland to woodland and wild habitats.,"['English', 'farmland', 'could', 'be', 'cut', 'by', '9', '%', 'to', 'hit', 'green', 'targets', 'The', 'government', ""'s"", 'launches', 'a', 'consultation', 'on', 'converting', 'farmland', 'to', 'woodland', 'and', 'wild', 'habitats', '.']","[""English farmland could be cut by 9% to hit green targets The government's launches a consultation on converting farmland to woodland and wild habitats.""]","['English', 'farmland', 'could', 'cut', '9', '%', 'hit', 'green', 'targets', 'government', ""'s"", 'launches', 'consultation', 'converting', 'farmland', 'woodland', 'wild', 'habitats', '.']","[('English', 'JJ'), ('farmland', 'NN'), ('could', 'MD'), ('cut', 'VB'), ('9', 'CD'), ('%', 'NN'), ('hit', 'VBD'), ('green', 'JJ'), ('targets', 'NNS'), ('government', 'NN'), (""'s"", 'POS'), ('launches', 'NNS'), ('consultation', 'NN'), ('converting', 'VBG'), ('farmland', 'NN'), ('woodland', 'NN'), ('wild', 'JJ'), ('habitats', 'NNS'), ('.', '.')]","[('English', 'LANGUAGE'), ('9%', 'PERCENT')]",-0.03333333333333333,"['english', 'farmland', 'could', 'be', 'cut', 'by', '9', '%', 'to', 'hit', 'green', 'target', 'the', 'government', ""'s"", 'launch', 'a', 'consultation', 'on', 'convert', 'farmland', 'to', 'woodland', 'and', 'wild', 'habitat', '.']"
6,Faisal Islam: The 'Iron Chancellor' will have to flex to get the growth she wants,"In choppy global seas, going for growth is going to require some tricky navigation - and it will make big domestic political waves too","['Faisal', 'Islam', ':', 'The', ""'Iron"", 'Chancellor', ""'"", 'will', 'have', 'to', 'flex', 'to', 'get', 'the', 'growth', 'she', 'wants', 'In', 'choppy', 'global', 'seas', ',', 'going', 'for', 'growth', 'is', 'going', 'to', 'require', 'some', 'tricky', 'navigation', '-', 'and', 'it', 'will', 'make', 'big', 'domestic', 'political', 'waves', 'too']","[""Faisal Islam: The 'Iron Chancellor' will have to flex to get the growth she wants In choppy global seas, going for growth is going to require some tricky navigation - and it will make big domestic political waves too""]","['Faisal', 'Islam', ':', ""'Iron"", 'Chancellor', ""'"", 'flex', 'get', 'growth', 'wants', 'choppy', 'global', 'seas', ',', 'going', 'growth', 'going', 'require', 'tricky', 'navigation', '-', 'make', 'big', 'domestic', 'political', 'waves']","[('Faisal', 'NNP'), ('Islam', 'NNP'), (':', ':'), (""'Iron"", 'CD'), ('Chancellor', 'NNP'), (""'"", 'POS'), ('flex', 'JJ'), ('get', 'NN'), ('growth', 'NN'), ('wants', 'VBZ'), ('choppy', 'JJ'), ('global', 'JJ'), ('seas', 'NN'), (',', ','), ('going', 'VBG'), ('growth', 'NN'), ('going', 'VBG'), ('require', 'VB'), ('tricky', 'JJ'), ('navigation', 'NN'), ('-', ':'), ('make', 'VBP'), ('big', 'JJ'), ('domestic', 'JJ'), ('political', 'JJ'), ('waves', 'NNS')]","[('Faisal Islam', 'PERSON')]",0.0,"['Faisal', 'Islam', ':', 'the', ""'"", 'Iron', 'Chancellor', ""'"", 'will', 'have', 'to', 'flex', 'to', 'get', 'the', 'growth', 'she', 'want', 'in', 'choppy', 'global', 'sea', ',', 'go', 'for', 'growth', 'be', 'go', 'to', 'require', 'some', 'tricky', 'navigation', '-', 'and', 'it', 'will', 'make', 'big', 'domestic', 'political', 'wave', 'too']"
7,Wine and spirits duty to rise but tax on a pint to fall,"A trade body calls the rise in alcohol tax a ""bitter blow"", but there is better news for pub-goers.","['Wine', 'and', 'spirits', 'duty', 'to', 'rise', 'but', 'tax', 'on', 'a', 'pint', 'to', 'fall', 'A', 'trade', 'body', 'calls', 'the', 'rise', 'in', 'alcohol', 'tax', 'a', '``', 'bitter', 'blow', ""''"", ',', 'but', 'there', 'is', 'better', 'news', 'for', 'pub-goers', '.']","['Wine and spirits duty to rise but tax on a pint to fall A trade body calls the rise in alcohol tax a ""bitter blow"", but there is better news for pub-goers.']","['Wine', 'spirits', 'duty', 'rise', 'tax', 'pint', 'fall', 'trade', 'body', 'calls', 'rise', 'alcohol', 'tax', '``', 'bitter', 'blow', ""''"", ',', 'better', 'news', 'pub-goers', '.']","[('Wine', 'JJ'), ('spirits', 'NNS'), ('duty', 'VBP'), ('rise', 'NN'), ('tax', 'NN'), ('pint', 'NN'), ('fall', 'NN'), ('trade', 'NN'), ('body', 'NN'), ('calls', 'VBZ'), ('rise', 'NN'), ('alcohol', 'NN'), ('tax', 'NN'), ('``', '``'), ('bitter', 'JJ'), ('blow', 'NN'), (""''"", ""''""), (',', ','), ('better', 'JJR'), ('news', 'NN'), ('pub-goers', 'NNS'), ('.', '.')]",[],0.2,"['wine', 'and', 'spirit', 'duty', 'to', 'rise', 'but', 'tax', 'on', 'a', 'pint', 'to', 'fall', 'a', 'trade', 'body', 'call', 'the', 'rise', 'in', 'alcohol', 'tax', 'a', '""', 'bitter', 'blow', '""', ',', 'but', 'there', 'be', 'well', 'news', 'for', 'pub', '-', 'goer', '.']"
8,Ukrainians can bring children to UK as visa changes reversed,Charities say changes brought in without notice last February left families torn apart.,"['Ukrainians', 'can', 'bring', 'children', 'to', 'UK', 'as', 'visa', 'changes', 'reversed', 'Charities', 'say', 'changes', 'brought', 'in', 'without', 'notice', 'last', 'February', 'left', 'families', 'torn', 'apart', '.']",['Ukrainians can bring children to UK as visa changes reversed Charities say changes brought in without notice last February left families torn apart.'],"['Ukrainians', 'bring', 'children', 'UK', 'visa', 'changes', 'reversed', 'Charities', 'say', 'changes', 'brought', 'without', 'notice', 'last', 'February', 'left', 'families', 'torn', 'apart', '.']","[('Ukrainians', 'NNS'), ('bring', 'VBP'), ('children', 'NNS'), ('UK', 'NNP'), ('visa', 'NN'), ('changes', 'NNS'), ('reversed', 'VBD'), ('Charities', 'NNS'), ('say', 'VBP'), ('changes', 'NNS'), ('brought', 'VBD'), ('without', 'IN'), ('notice', 'NN'), ('last', 'JJ'), ('February', 'NNP'), ('left', 'VBD'), ('families', 'NNS'), ('torn', 'JJ'), ('apart', 'RB'), ('.', '.')]","[('Ukrainians', 'NORP'), ('UK', 'GPE'), ('Charities', 'ORG'), ('last February', 'DATE')]",0.0,"['Ukrainians', 'can', 'bring', 'child', 'to', 'UK', 'as', 'visa', 'change', 'reverse', 'charity', 'say', 'change', 'bring', 'in', 'without', 'notice', 'last', 'February', 'leave', 'family', 'tear', 'apart', '.']"
9,Five key impacts of Brexit five years on,The UK left the European Union on 31 January 2020.,"['Five', 'key', 'impacts', 'of', 'Brexit', 'five', 'years', 'on', 'The', 'UK', 'left', 'the', 'European', 'Union', 'on', '31', 'January', '2020', '.']",['Five key impacts of Brexit five years on The UK left the European Union on 31 January 2020.'],"['Five', 'key', 'impacts', 'Brexit', 'five', 'years', 'UK', 'left', 'European', 'Union', '31', 'January', '2020', '.']","[('Five', 'CD'), ('key', 'JJ'), ('impacts', 'NNS'), ('Brexit', 'NNP'), ('five', 'CD'), ('years', 'NNS'), ('UK', 'NNP'), ('left', 'VBD'), ('European', 'NNP'), ('Union', 'NNP'), ('31', 'CD'), ('January', 'NNP'), ('2020', 'CD'), ('.', '.')]","[('Five', 'CARDINAL'), ('Brexit', 'GPE'), ('five years', 'DATE'), ('UK', 'GPE'), ('the European Union', 'ORG'), ('31 January 2020', 'DATE')]",0.0,"['five', 'key', 'impact', 'of', 'Brexit', 'five', 'year', 'on', 'the', 'UK', 'leave', 'the', 'European', 'Union', 'on', '31', 'January', '2020', '.']"
10,"Father of youngest hostage among three men to be released on Saturday, Hamas says",Yarden Bibas and two others will be exchanged for more Palestinian prisoners in the fourth swap since the ceasefire began.,"['Father', 'of', 'youngest', 'hostage', 'among', 'three', 'men', 'to', 'be', 'released', 'on', 'Saturday', ',', 'Hamas', 'says', 'Yarden', 'Bibas', 'and', 'two', 'others', 'will', 'be', 'exchanged', 'for', 'more', 'Palestinian', 'prisoners', 'in', 'the', 'fourth', 'swap', 'since', 'the', 'ceasefire', 'began', '.']","['Father of youngest hostage among three men to be released on Saturday, Hamas says Yarden Bibas and two others will be exchanged for more Palestinian prisoners in the fourth swap since the ceasefire began.']","['Father', 'youngest', 'hostage', 'among', 'three', 'men', 'released', 'Saturday', ',', 'Hamas', 'says', 'Yarden', 'Bibas', 'two', 'others', 'exchanged', 'Palestinian', 'prisoners', 'fourth', 'swap', 'since', 'ceasefire', 'began', '.']","[('Father', 'NNP'), ('youngest', 'JJS'), ('hostage', 'NN'), ('among', 'IN'), ('three', 'CD'), ('men', 'NNS'), ('released', 'VBN'), ('Saturday', 'NNP'), (',', ','), ('Hamas', 'NNP'), ('says', 'VBZ'), ('Yarden', 'NNP'), ('Bibas', 'NNP'), ('two', 'CD'), ('others', 'NNS'), ('exchanged', 'VBD'), ('Palestinian', 'JJ'), ('prisoners', 'NNS'), ('fourth', 'JJ'), ('swap', 'NN'), ('since', 'IN'), ('ceasefire', 'NN'), ('began', 'VBD'), ('.', '.')]","[('three', 'CARDINAL'), ('Saturday', 'DATE'), ('Hamas', 'ORG'), ('Yarden Bibas', 'PERSON'), ('two', 'CARDINAL'), ('Palestinian', 'NORP'), ('fourth', 'ORDINAL')]",0.25,"['Father', 'of', 'young', 'hostage', 'among', 'three', 'man', 'to', 'be', 'release', 'on', 'Saturday', ',', 'Hamas', 'say', 'Yarden', 'Bibas', 'and', 'two', 'other', 'will', 'be', 'exchange', 'for', 'more', 'palestinian', 'prisoner', 'in', 'the', 'fourth', 'swap', 'since', 'the', 'ceasefire', 'begin', '.']"
